Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
Gramd1c_E01_M_total mean,,,1.88322625,1.13516625,0.74806,39.57813029,0.74612875,4.84575,3.776535672,0.00193125,0.258375,0.16235,0.38371375,0.255995,0.12772,0.25704875,0.19797375,1.990289158,1.288162524,1140.340275,1202.02925,Gramd1c_E01_CF.xlsx,Gramd1c,14.804,,,
Hc_E01_M_total mean,,,1.756465,1.04243125,0.71403375,40.48813822,0.71206125,4.58375,3.617508608,0.0019725,0.278,0.1615375,0.34034,0.2261775,0.11416375,0.23583875,0.18215625,1.909899056,1.24706706,1153.537563,1218.845588,Hc_E01_CF.xlsx,Hc,14.688,,,
HDAC10_M_total mean,,14.58625,1.89242125,1.13411,0.75831125,39.96447997,0.75542625,4.88,3.772613307,0.002885,0.381625,0.1653125,0.38589375,0.2544775,0.13141375,0.26189375,0.200705,1.939539867,1.307185374,1121.027588,1187.442163,Hdac10_E01_CF.xlsx,Hdac10,,,,
Hemgn_E01_M_total mean,,,1.95457375,1.15436,0.80021375,40.75319998,0.79779,4.9145,3.804325777,0.00242375,0.299375,0.17195,0.42688875,0.28404625,0.14284125,0.280655,0.21497125,2.017566656,1.310299845,1145.142438,1204.839238,Hemgn_E01_CF.xlsx,Hemgn,14.866,,,
Heyl_E01_M_total mean,,14.67,1.64311875,0.988675,0.65444375,39.73119213,0.652505,4.42425,3.523181228,0.00193875,0.29675,0.152725,0.29302,0.1954175,0.097605,0.2094075,0.16309125,1.861570103,1.195516138,1142.77615,1211.390025,Heyl_E01_CF.xlsx,Heyl,,,,
HFE2_E01_M_total mean,,14.616,1.773226,1.048572,0.724654,40.81796958,0.722652,4.5496,3.620403761,0.002002,0.2738,0.1617,0.355082,0.238694,0.116386,0.239014,0.183684,1.964528364,1.255537575,1167.16464,1235.82894,Hfe2_E01_CF.xlsx,Hfe2,,,,
Hsd17b11_E01_M_total mean,,,2.03889,1.23055125,0.80833875,39.75574472,0.806165,5.126875,3.917480151,0.00217375,0.27,0.1711,0.45055625,0.29137875,0.1591775,0.283255,0.2268225,2.036069045,1.376210154,1160.384163,1224.9788,Hsd17b11_E01_CF.xlsx,Hsd17b11,15.098,,,
Hsf2_E01_M_total mean,,,1.7201425,1.027655,0.6924875,40.14413074,0.6909125,4.529875,3.592388599,0.001575,0.227875,0.1581,0.3233875,0.21397375,0.10941625,0.22682375,0.17362875,1.882151874,1.257305851,1151.736763,1219.463263,Hsf2_E01_CF.xlsx,Hsf2,14.766,,,
HSF4_E01_M_total mean,,14.72222222,1.852721111,1.106306667,0.746414444,40.09869052,0.743397778,4.894555556,3.724331454,0.003016667,0.401444444,0.1628,0.379094444,0.254384444,0.124706667,0.252806667,0.1963,2.005375659,1.270858607,1107.415356,1173.152389,Hsf4_E01_CF.xlsx,Hsf4,,,,
Hspb1_E01_E01_M_total mean,,,1.86521375,1.0654175,0.79979625,42.73015199,0.7973425,4.857875,3.656996176,0.00245375,0.304125,0.1773125,0.40224,0.2727225,0.1295175,0.27047125,0.2042275,2.008293602,1.263871735,1164.1424,1225.605188,Hspb1_E01_CF.xlsx,Hspb1,14.996,,,
HSPB2_E01_M_total mean,,14.70625,1.75770875,1.06660125,0.6911075,39.24598619,0.68925625,4.617125,3.659397358,0.00185125,0.267125,0.1558125,0.3339025,0.2257325,0.10816875,0.2334025,0.17549375,1.932263719,1.230871457,1153.5985,1222.899588,Hspb2_E01_CF.xlsx,Hspb2,,,,
HSPB3_E01_M_total mean,,14.54,1.6110725,0.963895,0.6471775,40.11319403,0.64547,4.317375,3.477221715,0.0017075,0.261125,0.1517875,0.27926375,0.17893,0.10033625,0.19976,0.1619375,1.788010553,1.236161335,1172.920313,1248.94625,Hspb3_E01_CF.xlsx,Hspb3,,,,
Htr1d_E01_M_total mean,,14.30285714,1.577068571,0.934965714,0.642102857,40.56018431,0.640567143,4.145857143,3.418974071,0.001535714,0.238571429,0.154257143,0.275897143,0.179432857,0.096464286,0.198804286,0.156811429,1.766694829,1.218637532,,,Htr1d_E01_CF.xlsx,Htr1d,,1150.694014,1219.3862,
Htr1f_E01_E01_M_total mean,,,1.89638625,1.089735,0.80665125,42.40809692,0.80391375,4.861,3.698957761,0.0027375,0.337125,0.1760375,0.41130375,0.27653,0.13477375,0.27260875,0.20885,2.027598043,1.288315731,1160.514663,1222.9257,Htr1f_E01_CF.xlsx,Htr1f,14.908,,,
HTR3B_E01_M_total mean,,14.5175,1.7037375,1.03162375,0.67211375,39.42528235,0.66998125,4.459125,3.59372486,0.0021325,0.31575,0.1543125,0.31518,0.20939625,0.105785,0.21938125,0.17058375,1.887940596,1.234959461,1157.656,1225.621863,Htr3b_E01_CF.xlsx,Htr3b,,,,
Hyal3_E01_M_total mean,,,1.79646125,1.06584875,0.7306125,40.63799219,0.72848875,4.7135,3.655087916,0.00212375,0.2915,0.16315,0.35793125,0.240885,0.11704625,0.2474625,0.1867425,1.938349938,1.246884624,1149.527063,1213.330038,Hyal3_E01_CF.xlsx,Hyal3,14.892,,,
Ifnk_E01_M_total mean,,,1.7996375,1.03750375,0.76213375,42.2289449,0.76013375,4.738375,3.609027149,0.002,0.262,0.169825,0.371415,0.25188375,0.11953125,0.25606625,0.19316125,1.959672622,1.235261372,1152.5197,1213.921613,Ifnk_E01_CF.xlsx,Ifnk,14.992,,,
Igfl3_E01_M_total mean,,,1.767185,1.0494075,0.7177775,40.42057032,0.71607125,4.590875,3.629364082,0.00170625,0.238125,0.1625375,0.34739,0.23381875,0.11357,0.2413025,0.1818975,1.929440728,1.240877436,1151.701963,1217.23615,Igfl3_E01_CF.xlsx,Igfl3,14.758,,,
II12RB2_E01_M_total mean,,14.37875,1.6417625,1.00955125,0.63221125,38.43902124,0.63047625,4.33725,3.559332228,0.001735,0.2745,0.147375,0.28320375,0.18594875,0.09725625,0.2021025,0.158835,1.833198787,1.222315414,1158.096163,1232.860663,II12rb2_E01_CF.xlsx,II12rb2,,,,
II24_E01_M_total mean,,14.83375,1.82161375,1.04429875,0.777315,42.65396158,0.77486875,4.75,3.616271841,0.00244625,0.31525,0.1746625,0.38316125,0.25811625,0.12504875,0.26447875,0.19699875,1.936516917,1.264365888,1182.803075,1250.990675,Il24_E01_CF.xlsx,Il24,,,,
IL6ST_E01_M_total mean,,14.64875,1.90226625,1.1867575,0.71550875,37.35963894,0.71323875,4.88175,3.859419731,0.00227,0.312625,0.1535375,0.381305,0.2566825,0.12462375,0.25336375,0.1903675,2.012469328,1.302197613,1148.361325,1218.140913,Il6st_E01_CF.xlsx,Il6st,,,,
Infl3_E01_M_total mean,,,1.638706667,0.97835,0.660356667,40.18540344,0.658615,4.405333333,3.505777835,0.001741667,0.262666667,0.153216667,0.29466,0.197763333,0.096896667,0.213795,0.163561667,1.847473297,1.185807477,1144.339167,1212.683333,Infl3_E01_CF.xlsx,Infl3,14.54133333,,,
Ipp_E01_M_total mean,,,1.81067375,1.0967275,0.71394625,39.30953756,0.71168125,4.757375,3.710051304,0.002265,0.316875,0.1601,0.35331875,0.23577,0.1175475,0.2436075,0.1827875,1.928963128,1.282543354,1142.193275,1207.475213,Ipp_E01_CF.xlsx,Ipp,14.87,,,
Iqgap2_E01_M_total mean,,,1.73652375,1.0364,0.70012375,40.14099831,0.698105,4.63875,3.604572825,0.00201875,0.285125,0.15965,0.334325,0.2242125,0.110115,0.23503375,0.17681,1.890394166,1.232478008,1140.261963,1204.630438,Iqgap2_E01_CF.xlsx,Iqgap2,14.83,,,
Irf8_E01_M_total mean,,14.66,1.89648,1.2812325,0.6152475,32.36250971,0.61369,4.8225,4.01149693,0.0015575,0.253625,0.128625,0.327095,0.20822625,0.11886625,0.22382,0.17841375,1.858866295,1.330791401,,,Irf8_E01_CF.xlsx,Irf8,,1136.042638,1214.008588,
Jam2_E01_M_total mean,,,1.619507143,0.980732857,0.638774286,39.28236529,0.637364286,4.368142857,3.510023061,0.00141,0.223142857,0.148514286,0.284301429,0.190407143,0.093894286,0.20696,0.159118571,1.835292264,1.178218712,1149.123143,1218.690257,Jam2_E01_CF.xlsx,Jam2,14.54171429,,,
Jmjd8_E01_M_total mean,,,1.856705,1.1086475,0.7480575,40.18984392,0.7458025,4.777375,3.726761438,0.002255,0.29875,0.1646875,0.380055,0.25235875,0.12769625,0.255475,0.197235,1.956706207,1.286538769,1140.514225,1201.385475,Jmjd8_E01_CF.xlsx,Jmjd8,14.786,,,
KCNH3_E01_M_total mean,,14.67625,1.78126,1.086875,0.694385,38.81064834,0.6907975,4.647875,3.69445855,0.0035875,0.51475,0.15335,0.33949125,0.231405,0.1080875,0.2357525,0.17682,1.962401981,1.222159765,1109.014588,1184.532275,Kcnh3_E01_CF.xlsx,Kcnh3,,,,
Krt9_E01_M_total mean,,,1.76798125,1.04938875,0.7185925,40.44780916,0.71660125,4.5385,3.630336905,0.00199125,0.277,0.1616,0.34254375,0.22467375,0.11787,0.23487125,0.1851375,1.904814567,1.268808869,1146.490875,1210.72015,Krt9_E01_CF.xlsx,Krt9,15.398,,,
Lcn2_E01_M_total mean,,,1.8354975,1.08744625,0.74805125,40.63234025,0.74618625,4.716,3.695513637,0.001865,0.2495,0.1652,0.37476375,0.2520625,0.1227,0.25303,0.1936275,1.988956309,1.263202718,1142.367275,1201.585575,Lcn2_E01_CF.xlsx,Lcn2,14.722,,,
Lima1_E01_M_total mean,,,1.67360875,0.9544275,0.71918125,42.88395901,0.71719375,4.475125,3.460397044,0.0019875,0.2765,0.1666,0.32769625,0.22536625,0.10233375,0.2322775,0.1705125,1.93638782,1.19271587,1159.905688,1225.796563,Lima1_E01_CF.xlsx,Lima1,14.714,,,
Limch1_E01_M_total mean,,,1.71111375,0.96645375,0.74466,43.36571984,0.742415,4.496,3.482975265,0.002245,0.298875,0.1713375,0.343195,0.23303875,0.11015625,0.24582875,0.18121875,1.889501544,1.212608632,1160.57555,1223.6217,Limch1_E01_CF.xlsx,Limch1,14.646,,,
Lin28b_E01_M_total mean,,,1.73378375,1.05460625,0.6791775,39.09401945,0.67748625,4.591625,3.634446349,0.00169125,0.241125,0.1530875,0.32762375,0.21959125,0.1080325,0.22722375,0.17352375,1.917693742,1.234168077,1139.9923,1204.499938,Lin28b_E01_CF.xlsx,Lin28b,14.564,,,
Lipn_E01_M_total mean,,,1.95133625,1.16164,0.78969625,40.3935459,0.7875125,5.0155,3.818153189,0.00218375,0.276875,0.1681,0.4201425,0.28251875,0.13762,0.27758375,0.2099775,2.027995951,1.308690243,1160.088375,1222.856113,Lipn_E01_CF.xlsx,Lipn,14.988,,,
Lpar6_E01_M_total mean,,14.55875,1.6513425,0.98074125,0.67060125,40.35138307,0.66871625,4.4135,3.507102537,0.001885,0.2755,0.1568375,0.302015,0.19842375,0.10359375,0.21459,0.16656625,1.828858288,1.234494732,,,Lpar6_E01_CF.xlsx,Lpar6,,1162.350313,1234.609275,
