AC_BR_Intensity,AC_BR_RedBeads,AC_Intensity,AC_RedBeads,AP_BS,AP_G_BS,AP_G_G,AP_Intensity,AP_L_AP,AP_L_BS,AP_NL_AP,AP_NL_BS,AP_RG_BS,AP_RG_RG,AP_R_BS,AP_R_R,AP_R_RG_BS,AP_R_RG_R,AP_TRAP_BS,AP_TRAP_R_RG_BS,BFR,BV_TV,Calcein_GreenBeads,Calcein_Intensity,Cortex_Width,GFP_BS,GFP_R_BS,GFPonly_BS,G_BS,G_LS,Gonly_BS,GreenBeads_Intensity,Height_Width,LS_BS,MAR,MS_BS,Osteocytes_Density,R_BS,R_G,R_LS,RedBeads_Intensity,Ronly_BS,TRAP_BS,TRAP_Intensity,TRAP_L_BS,TRAP_L_TRAP_on,TRAP_NL_BS,TRAP_NL_TRAP_on,TRAP_on_TRAP,Tb.N,Tb.Sp,Tb.Th,dLS_BS,dLS_LS,dLS_sLS,exp_name,gene_symbol,sLS_BS,sLS_LS,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N,Bone #,Bone type
26.10416667,0.10575043,47.70833333,0.193289413,88.50356994,10.22272125,35.65212892,,64.41559335,57.47774774,35.58440665,31.73765641,17.00633483,96.04273939,29.86379934,60.48875733,47.0027747,94.79990101,24.21090019,11.84194783,0.808770253,16.72290431,0.445540269,104.1458333,93.6319486,,,,28.62242817,47.89591514,11.62608195,233.9583333,2.638810505,61.89194229,2.064637816,39.81753574,1582.333084,49.70647908,173.4949614,80.69629005,246.875,32.26575731,24.99112473,,15.48455232,62.20126216,9.530790283,37.79873784,84.90269556,4.910429522,173.235496,34.01876912,17.74312918,28.59220519,40.25179096,Cd33_E01V.xls,Cd33,44.14881311,71.40779481,,,,,
28.25,0.112828112,51.625,0.206192649,83.08384414,6.220069387,28.34174412,61.47916667,67.5512446,56.41442547,32.4487554,26.97314041,12.47422504,93.09063822,36.46418741,67.48719293,50.92384138,90.66501798,8.955465448,5.54252282,0.569068677,17.77402119,0.365114803,85.625,255.9470402,,,,21.05257261,32.50093611,7.047648518,233.375,2.641868196,61.78310058,1.499835202,37.58899286,1667.861188,53.72213064,292.8109182,88.93273198,250.4583333,40.60996249,8.562615365,151.8541667,5.848771035,67.38228951,2.830955931,32.61771049,83.46444573,3.256338668,258.0008326,56.22588893,13.39488514,21.43366808,27.77116257,Ceacam16_E01V_v2.xls,Ceacam16,48.38821544,78.56633192,22.47285075,15.78041126,,,
31.45833333,0.130134181,53.72916667,0.222347782,88.4468978,9.797988848,30.72970706,91.625,70.52535855,62.54456891,29.47464145,26.15904473,19.84743086,95.24365786,35.84183211,63.44261573,52.70762658,94.62408828,28.54065609,16.28050513,0.602880211,18.82265373,0.380056338,89.64285714,248.5855344,,,,30.999835,47.90388864,10.50841902,235.4583333,2.783096023,66.61863256,1.332085993,43.97643865,1809.999465,56.52905136,178.4672762,83.91961437,241.9583333,37.83003614,30.78435717,204.2916667,20.33186046,66.79286778,10.22135024,33.20713222,85.13919998,3.358496867,244.464751,55.49966835,21.33424474,31.82350301,47.17728338,Cers5_E01V_v2.xls,Cers5,45.28438782,68.17649699,,,,,
27.39583333,0.109310757,48.60416667,0.193933599,82.28787335,8.419149523,31.979384,61.04166667,67.18875509,55.57813103,32.81124491,27.17069239,14.61101818,93.42903692,32.03180341,61.41584806,47.21979201,91.22274353,12.75697524,7.751373679,0.566064473,18.09721007,0.393085245,92.45238095,248.5165169,,,,26.1792055,42.28609393,9.76154354,235.4583333,2.83568723,61.3380957,1.531665423,38.80116491,1882.987569,51.93775958,202.7370701,84.24628726,250.5833333,35.3879899,14.19209688,149.7708333,9.63248906,66.50722456,4.969672837,33.49277544,85.95190549,3.270131276,252.4753261,56.67805581,16.26423413,26.53238118,36.29831295,Ces4a_E01V_v2.xls,Ces4a,45.07386157,73.46761882,24.22505151,21.73144843,,,
23.0625,0.093348458,44.29166667,0.179244583,85.88171294,10.6336529,44.23918362,,56.53934867,48.63305514,43.46065133,37.26911595,10.84467205,96.02480821,28.11360013,70.80252502,37.765102,94.96308436,21.28922258,8.609004952,0.521828571,14.69626875,0.381993214,89.76190476,106.5875451,,,,24.44537619,45.38112857,12.31560476,236.2083333,2.978852905,52.73018095,1.589033333,32.07672381,,40.28869167,168.8206024,76.12335952,247.3333333,30.1194375,22.83384608,,12.1290381,51.13986786,11.86707124,48.86013214,81.61895175,5.244275,166.6902708,27.96193125,11.42322381,21.5044881,27.59014286,Cited4_E01V.xls,Cited4,41.30697619,78.4955119,,,1374.425923,,
26,0.105231751,48.29166667,0.195486456,81.02000174,9.944378779,35.3587095,,70.27136326,56.79291342,29.72863674,24.11311572,16.11171433,89.78239106,32.88573884,59.54162975,48.9551413,87.96958041,32.79987952,18.01767169,0.805198161,17.45450441,0.420110729,99.60416667,104.7133126,,,,28.14632088,42.55228058,12.5020814,237.2291667,2.806650124,65.81516483,1.934111389,41.78922477,1686.204789,55.43048557,201.1922525,84.18719028,247.0833333,37.87874214,35.08778929,,22.91497016,65.9392754,12.03277868,34.0607246,86.16661743,5.168832038,168.1608395,33.35705816,17.76328472,26.73947086,36.96699331,Cml2_E01V.xls,Cml2,48.05188011,73.26052914,,,,,
25.16666667,0.101822037,45.52083333,0.184202181,89.17472994,9.652895051,40.71248141,,61.58643653,54.37087022,38.41356347,33.63173389,13.2455701,96.08771952,39.27362363,76.07721388,46.12570412,94.90760621,28.20551472,15.08940953,0.717236822,13.38672725,0.386125544,90.73809524,86.95477979,,,,23.91278344,42.09385223,10.67119402,236.5,2.726101659,57.62578488,1.884732336,35.81796906,1463.814274,49.74839004,210.1650607,81.95442658,247.0833333,39.23122498,29.37953815,,17.31184831,58.74934092,11.88910118,41.25065908,81.61081529,4.426828501,203.2725358,30.48151753,14.01015323,24.04827881,32.35266472,Cp_E01V.xls,Cp,43.61563165,75.95172119,,,,,
24.89583333,0.100544459,43.97916667,0.177606267,91.76723948,13.7637179,43.86940827,,68.6089003,62.71678497,31.3910997,28.71259979,17.64605864,97.0077084,33.27628711,62.28572109,51.53235585,96.33013552,26.85054652,13.29958815,0.827501491,14.838792,0.483124488,113.4583333,82.96438085,,,,30.83809775,47.24862511,15.36744166,235.125,2.623728362,65.00109694,1.982275748,41.26049522,1659.247262,52.58522433,172.8866669,79.46449119,247.7916667,34.48365017,26.97926011,,16.90355799,64.11106067,9.592822078,35.88893933,90.35284647,4.636973914,187.9353263,31.89645596,17.51989351,26.7131163,36.79625253,Dixdc1_E01V.xls,Dixdc1,47.48120342,73.2868837,,,,,
26.52083333,0.104807273,43.45833333,0.171743539,81.71064757,9.952445687,26.82872656,50.85416667,74.84752833,60.77740245,25.15247167,20.35201294,21.82238121,91.13238883,31.25014666,54.27048586,50.82495676,89.80054672,11.78100744,6.662806928,0.568547488,20.4317657,0.509522576,123.9285714,264.4493097,,,,35.21497328,53.16413085,12.19159938,243.3333333,2.900141477,68.27904517,1.221044428,46.06888324,1948.270184,56.72485504,154.2381839,81.71070073,252.75,34.16273007,12.2601381,157.75,8.25792294,68.57945027,3.762143553,31.42054973,83.85590937,3.614579432,226.5454356,57.48528402,23.85872131,34.87483158,53.76610416,Dnaja4_E01V_v2.xls,Dnaja4,44.42032385,65.12516842,18.87169729,15.52911547,,,
31.11458333,0.128477084,44.59375,0.184113492,89.29705027,12.9949237,49.46685912,78.1875,70.22152176,63.57447917,29.77847824,26.78352038,14.85051234,96.11715705,40.68924528,72.6380631,55.30171188,96.28420662,31.05627993,17.45395151,0.552578917,16.33195261,0.392904976,93.08333333,88.12426696,,,,25.4921698,37.17078218,14.1979297,237.4583333,2.813203037,66.22038707,1.422882522,41.00205893,1504.130845,56.24671435,241.259063,86.37257623,242.7916667,41.93552096,31.40369345,192,20.93689682,66.6243091,10.52904253,33.3756909,84.20271488,3.229038151,260.631519,50.79615093,15.78373079,23.5433584,31.21694575,Dnajb3_E01V.xls,Dnajb3,50.43665628,76.4566416,,,,,
