AC_BR_Intensity,AC_BR_RedBeads,AC_Intensity,AC_RedBeads,AP_BS,AP_G_BS,AP_G_G,AP_Intensity,AP_L_AP,AP_L_BS,AP_NL_AP,AP_NL_BS,AP_RG_BS,AP_RG_RG,AP_R_BS,AP_R_R,AP_R_RG_BS,AP_R_RG_R,AP_TRAP_BS,AP_TRAP_R_RG_BS,BFR,BV_TV,Calcein_GreenBeads,Calcein_Intensity,Cortex_Width,GFP_BS,GFP_R_BS,GFPonly_BS,G_BS,G_LS,Gonly_BS,GreenBeads_Intensity,Height_Width,LS_BS,MAR,MS_BS,Osteocytes_Density,R_BS,R_G,R_LS,RedBeads_Intensity,Ronly_BS,TRAP_BS,TRAP_Intensity,TRAP_L_BS,TRAP_L_TRAP_on,TRAP_NL_BS,TRAP_NL_TRAP_on,TRAP_on_TRAP,Tb.N,Tb.Sp,Tb.Th,dLS_BS,dLS_LS,dLS_sLS,exp_name,gene_symbol,sLS_BS,sLS_LS,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N,Bone #,Bone type
23.29166667,0.094305923,45.04166667,0.182396462,77.70491904,8.903738944,47.06235199,,54.43708316,40.79390027,45.56291684,36.79794767,8.201376413,87.34477602,25.22273291,64.73664732,33.42410932,85.24653717,18.91349267,7.445529504,0.470067378,18.74251252,0.317337326,74.95833333,95.24087023,,,,19.0577032,39.62800746,11.15003798,236.2083333,2.412718815,47.98033546,1.61263711,28.48508426,1559.524229,38.12792525,208.8097682,78.49438734,247.125,29.13809218,18.41141251,,8.83273058,50.17527332,9.072140376,49.82472668,86.52912001,5.788096315,146.7314728,32.29974919,8.989833066,18.1223948,22.42453741,Cd33_E01V.xls,Cd33,38.9905024,81.8776052,,,,,
27.05555556,0.107791058,46.38888889,0.18481629,65.47233995,7.255792739,44.92837467,48.66666667,55.54162238,34.83232078,44.45837762,27.61580425,4.785589527,83.12150818,25.92413087,60.49688392,29.30474365,73.99271167,9.73965504,2.835181893,0.386582648,19.12874513,0.311238857,73.69444444,231.3584844,,,,17.27839144,31.59014811,10.03203484,237.2222222,2.808213133,50.99635799,1.287730319,29.76155705,1711.484526,42.20582164,299.0986288,84.11202004,251,33.76054158,9.430649925,141.6388889,4.884962294,56.09022407,4.115864851,43.90977593,85.58599639,3.879430626,216.1506842,50.64392617,8.526756108,15.70216815,19.47971671,Ceacam16_E01V_v2.xls,Ceacam16,42.46960188,84.29783185,23.09552224,16.17655245,,,
24.9375,0.102523961,42.33333333,0.174069791,85.3729298,11.25828321,47.99311101,74.58333333,56.5345855,47.55101454,43.4654145,36.52469402,9.373561867,94.9637905,26.32152126,70.0151262,36.14660907,92.76871608,21.2115574,8.353516626,0.328443579,17.91708672,0.31693226,74.625,230.0175228,,,,23.05917172,43.78161245,12.17493269,235.1666667,2.994932926,51.56415735,1.082798954,30.86589209,1958.585019,38.57108392,179.4301172,75.84774988,243.3333333,28.44837435,21.13940749,171.0208333,10.61876238,52.21200428,9.775762241,47.78799572,83.39812511,3.694860614,224.2884647,49.87457749,10.16762682,19.62936233,24.60941465,Cers5_E01V_v2.xls,Cers5,41.39653053,80.37063767,,,,,
24.66666667,0.098436653,40.66666667,0.162281009,66.69999295,7.986910239,60.79473758,46.03333333,32.19117632,21.16049558,67.80882368,45.06728388,2.056769891,80.27025872,12.92014587,63.02736984,13.17358534,78.00320659,11.08873132,2.172613407,0.211337836,18.86045636,0.280055626,66.7,247.1230548,,,,14.45986394,54.43428092,10.69462725,238.1333333,2.937006851,30.86972997,1.27552361,17.31748333,1508.135073,21.24760456,151.7982639,55.54586442,250.6666667,16.76307306,14.66212174,132.8333333,4.691756336,31.228169,11.27422776,68.771831,86.10826068,3.657198838,223.9835014,52.74197697,3.765236692,9.980145343,11.53519719,Ces4a_E01V_v2.xls,Ces4a,27.10449328,90.01985466,19.79372201,20.04182583,,,
19.77083333,0.079954271,41.29166667,0.166994021,69.25788805,10.57507875,50.93223014,,45.77830175,31.83127306,54.22169825,37.36275072,5.352260333,88.31426336,17.71150074,65.07297514,21.15178575,82.9706165,12.67837881,3.875135222,0.227664286,20.88230833,0.295618167,69.9375,114.189579,,,,18.56156429,47.64808095,12.70023571,236,3.069054354,36.84623333,1.057185417,21.09117381,,25.5029125,153.4956857,66.47120238,247.3333333,20.82867708,16.25425479,,6.168017381,38.39475202,10.38450381,61.60524798,84.8702635,6.557539583,127.2540667,33.28715,5.336121429,14.1193,16.70926905,Cited4_E01V.xls,Cited4,31.51011905,85.8807,,,1653.162606,,
22.02083333,0.088858983,40.97916667,0.165362713,69.69733416,10.26685759,47.52662897,,51.50433507,36.26764271,48.49566493,33.90255627,6.424306799,85.46015327,19.53437639,60.96894186,25.93056534,82.30023344,24.05340222,8.089824894,0.320542932,16.78029416,0.341676311,81.72916667,98.12162653,,,,21.28386554,48.30269492,13.93039974,239.2916667,2.640481263,44.76880964,1.222064411,26.08451971,1579.12792,31.52147944,145.040814,68.02016941,247.7916667,23.81674734,29.69144099,,12.69778916,43.34266589,16.61095335,56.65733411,81.29307516,5.932502261,146.9501831,28.69528671,7.40022978,16.32286433,19.6888324,Cml2_E01V.xls,Cml2,37.36857986,83.67713567,,,,,
20.91666667,0.084518405,39.1875,0.158349667,87.50291205,12.3116093,58.77900309,,45.53801732,39.80864881,54.46198268,47.5850389,7.199195863,97.52506065,22.33851722,77.43590105,27.53503356,95.8972967,22.21369447,5.807088224,0.374676763,12.3895046,0.320692406,75.55555556,75.75068531,,,,20.89079726,49.01350575,13.26179934,237.1041667,3.050132592,41.7584286,1.533037802,24.53162348,1490.521985,28.84668932,141.7967895,68.12104473,247.4583333,23.28835338,21.58426894,,8.944673194,40.73661022,12.78460744,59.26338978,80.19207361,5.283094219,173.6803952,23.75244394,7.304818357,17.13455048,20.86223208,Cp_E01V.xls,Cp,34.45361024,82.86544952,,,,,
20.85416667,0.084247618,36.70833333,0.148303224,88.86299724,15.1538086,56.37778165,,55.08835281,48.8078209,44.91164719,39.65967779,9.93434828,96.5852011,24.69570729,71.244826,33.76136665,95.5855104,24.35709468,8.749339304,0.467695879,19.10198172,0.397525122,93.95238095,83.09629015,,,,26.44050122,51.19935925,16.11712815,237.1458333,2.422158901,51.86645414,1.583943826,31.06457127,1552.359263,35.59170695,137.4286948,68.27330016,247.5416667,26.60952471,25.38683501,,12.66244023,49.65301084,12.9795229,50.34698916,91.64013895,6.053642665,135.9886734,32.25215687,10.2626884,19.47265941,24.50054308,Dixdc1_E01V.xls,Dixdc1,41.60376574,80.52734059,,,,,
22.85416667,0.090332675,38.10416667,0.150609354,72.56316412,12.84928489,41.71958867,47.0625,65.01345139,47.81719587,34.98654861,25.38443094,12.48204818,90.01006967,22.17918978,54.84315821,34.62537017,85.38599186,7.419805279,3.172509203,0.370584289,20.02488129,0.438689161,106.7291667,240.0307787,,,,28.64696681,53.30603417,15.44710587,243.4166667,2.719936499,56.39853507,1.055069549,35.3151943,1844.912788,40.52492522,136.2286813,71.6494131,253,26.14069031,8.917598648,134.7083333,4.545313529,62.18336996,3.014766182,37.81663004,81.94497003,4.066973937,201.0234767,48.77166516,14.23185352,24.95544727,33.58606352,Dnaja4_E01V_v2.xls,Dnaja4,42.16668154,75.04455273,18.64463353,14.87342925,,,
21.88095238,0.089755605,34.02380952,0.139557777,87.91565224,13.35193583,60.05230354,72.28571429,53.17513749,46.8474273,46.82486251,41.21171882,7.345373581,96.89694624,26.14339539,75.88790843,33.55676925,96.64004016,24.95590057,9.546794856,0.257425343,14.52340799,0.35596498,84.88095238,61.13820688,,,,22.05208803,44.88376033,14.03372649,238.047619,2.620866104,48.44401799,0.899809688,28.10370018,1568.272089,34.28061232,159.4408297,70.98651367,244.1190476,26.62737621,25.63229905,169.1428571,13.05895892,50.80810168,12.71463831,49.19189832,83.95016064,3.436185449,250.8878369,40.60285627,7.763382366,15.870274,19.02486184,Dnajb3_E01V.xls,Dnajb3,40.68063563,84.129726,,,,,
