Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E31_M04_CV,9025.0,29.82,58.8,5.7031,163.1,209.9069,282.9497,844.2489,1.7532,0.5227,0.7993,17.8271,36.4508,10.16832078485056,14.487687931735067,2.1218,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
AAA_E31_M05_CV,9027.0,21.7,51.1,5.1819,188.70000000000002,195.4714,222.4004,809.6592,1.5757,0.3419,1.4969,13.7928,44.6308,8.753442914260328,11.179121413519209,1.9163,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
AAA_E31_M06_CV,9028.0,19.23,46,5.272,186.20000000000002,204.5954,201.3821,774.652,1.7693,0.3403,1.577,15.1044,49.8426,8.536935511219125,10.569909027291812,1.7415,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
AAA_E31_M07_CV,9029.0,19.45,45.699999999999996,5.1994,187.4,230.2634,203.7484,762.5421,1.5656,0.3045,1.5411,13.5736,50.1252,8.669902912621358,10.763301879311712,1.7953,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
AAA_E31_M08_CV,9030.0,19.08,44.5,5.4085,180.9,228.4748,203.7484,785.0219,1.5363,0.2932,1.6818,13.2394,51.4183,8.617717893640565,10.650309709596975,1.8364,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
AAA_E32_M01_CV,9129.0,28.83,59.9,5.4034,172.4,164.0893,272.4406,836.8021,1.7308,0.499,0.8852,16.9182,36.0188,9.774786226022648,13.73453482708232,2.1219,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E32_M02_CV,9130.0,20.53,48.300000000000004,5.3695,183.10000000000002,178.1135,214.7447,775.7655,1.4794,0.3037,1.6079,12.5606,46.5886,8.490333919156415,10.683507697541891,1.8675,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E32_M03_CV,9131.0,23.25,54.9,5.3696,176.8,178.1462,232.6311,831.6519,1.67,0.3882,1.4658,14.8972,42.044,8.920479041916169,11.62209393041036,2.2868,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E32_M04_CV,9132.0,28.199999999999996,57.1,5.7661,165,214.2564,269.6567,825.1793,1.1902,0.3356,0.8874,11.9089,38.1262,10.005797344984035,13.93505733676574,2.0526,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E32_M06_CV,9134.0,20.02,45.5,5.4249,180.60000000000002,212.782,207.785,799.6373,1.5015,0.3006,1.5609,13.1194,49.2581,8.737529137529137,10.924639853443251,1.8703,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E32_M07_CV,9135.0,19.25,43.5,5.2981,187.29999999999998,255.7323,199.2942,778.8278,1.3901,0.2677,1.5828,12.0801,51.9115,8.690094237824617,10.762740555951535,1.687,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E32_M08_CV,9136.0,20.560000000000002,46,5.5624,177.4,214.5252,212.448,776.3223,1.4614,0.3004,1.3973,13.1428,48.8157,8.993294101546462,11.32024117140396,1.9956,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E32_M09_CV,9137.0,19.48,48.5,4.9992,194.20000000000002,178.3146,203.5396,808.3369,1.503,0.2928,1.5809,12.3187,46.9925,8.196074517631404,10.179061312179805,1.8267,AAA_E32_CV.xlsx,AAA_E32_CV.xlsx
AAA_E33_M01_CV,9227.0,21.38,48.2,5.2397,187.20000000000002,197.6763,217.111,784.1868,1.3608,0.291,1.3689,11.9818,45.7746,8.804967666078777,11.200037390166385,1.9206,AAA_E33_CV.xlsx,AAA_E33_CV.xlsx
AAA_E33_M02_CV,9228.0,20.87,46.300000000000004,5.6726,171.1,228.3635,215.5799,782.8644,1.2239,0.2555,1.536,10.9588,48.4527,8.95399950976387,11.316398182569188,1.9392,AAA_E33_CV.xlsx,AAA_E33_CV.xlsx
AAA_E33_M03_CV,9229.0,21.92,49.9,5.2376,186.4,187.6407,222.4004,800.9596,1.5029,0.3294,1.3627,13.332,44.6618,8.870849690598178,11.360886237750323,1.9983,AAA_E33_CV.xlsx,AAA_E33_CV.xlsx
AAA_E33_M04_CV,9230.0,22.35,48.800000000000004,5.3304,184.10000000000002,211.4076,228.7337,810.2856,1.4356,0.3209,1.239,13.0783,44.9607,9.109988854834215,11.73257378666906,1.933,AAA_E33_CV.xlsx,AAA_E33_CV.xlsx
AAA_E33_M05_CV,9232.0,22.040000000000003,50,5.1624,187.20000000000002,182.3885,221.8436,820.7947,1.4612,0.3221,1.3746,12.7732,44.0261,8.741582261155214,11.213414098849968,1.9279,AAA_E33_CV.xlsx,AAA_E33_CV.xlsx
AAA_E33_M06_CV,9233.0,21.5,46.4,5.4988,176.1,244.2068,219.1293,791.8424,1.4045,0.302,1.4602,12.8813,48.1643,9.171448914204342,11.683718820861678,1.926,AAA_E33_CV.xlsx,AAA_E33_CV.xlsx
AAA_E33_M07_CV,9234.0,18.9,42.1,5.3742,179.5,239.4107,203.47,773.8168,1.3366,0.2526,1.622,11.6877,53.8831,8.744351339218912,10.7820110701107,1.8641,AAA_E33_CV.xlsx,AAA_E33_CV.xlsx
AAA_E34_M01_CV,9850.0,25.840000000000003,54.800000000000004,5.4477,173.5,229.7539,251.7007,835.2013,1.9869,0.5135,0.9926,19.6521,40.9795,9.89083496904726,13.337925885706527,1.9463,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_M02_CV,9851.0,23.56,53.1,5.2276,187.70000000000002,211.2382,235.1366,798.1061,1.8321,0.4316,1.2808,16.9132,42.481,9.23159216199989,12.07654409139593,1.8175,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_M03_CV,9852.0,25.61,52.3,5.6685,165.8,217.5878,250.2392,820.3076,1.9969,0.5113,1.1555,19.9396,42.123,9.985277179628424,13.42191707054389,1.9331,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_M04_CV,9853.0,25.169999999999998,52.8,5.6418,167.6,222.4769,249.4736,850.2343,1.8631,0.4689,1.158,18.2962,42.2367,9.820299500831947,13.123081336967434,2.0691,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_M05_CV,9855.0,24,53.400000000000006,5.1339,189.9,186.5913,235.763,818.5676,1.7043,0.409,1.1734,15.5953,41.4612,9.150560347356686,12.039913533544354,1.829,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_M06_CV,9856.0,19.86,44.4,4.986,196,237.0597,207.8546,784.4651,1.0019,0.199,1.5965,8.4334,49.8316,8.417406926839007,10.503674181093537,1.9302,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
