Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
Sprr1b_E01_F08_CF                         ,12899,,1.48023,0.84735,0.63288,42.66972025,0.63161,4.085,3.263144824,0.00127,0.201,0.1591,0.24563,0.15637,0.08925,0.18956,0.14876,1.649820637,1.199919333,1157.8525,1222.4385,Sprr1b_E01_CF.xlsx,Sprr1b,14.704,,,
Sprr3_E01_F01_CF                          ,6657,,1.70121,1.01307,0.68814,40.33775959,0.68623,4.567,3.567998469,0.00191,0.277,0.1578,0.30982,0.19485,0.11496,0.21593,0.18002,1.80475154,1.277191423,1171.2848,1243.0392,Sprr3_E01_CF.xlsx,Sprr3,15.088,,,
Sprr3_E01_F02_CF                          ,6658,,1.8098,1.10548,0.70432,38.7766604,0.70178,4.736,3.727180085,0.00254,0.361,0.1574,0.34056,0.21421,0.12634,0.22869,0.19206,1.873365692,1.315630532,1159.1749,1230.1638,Sprr3_E01_CF.xlsx,Sprr3,14.896,,,
Sprr3_E01_F03_CF                          ,6659,,1.53327,0.91055,0.62272,40.48080247,0.62068,4.078,3.382648188,0.00204,0.329,0.1537,0.25512,0.16439,0.09073,0.19048,0.15128,1.726060479,1.19949762,1162.7244,1238.6547,Sprr3_E01_CF.xlsx,Sprr3,14.4,,,
Sprr3_E01_F04_CF                          ,6660,,1.68604,0.9459,0.74014,43.7789139,0.73813,4.64,3.447684725,0.00201,0.272,0.173,0.32557,0.2105,0.11507,0.23884,0.17892,1.762686317,1.286273195,1171.4935,1234.7572,Sprr3_E01_CF.xlsx,Sprr3,15.376,,,
Sprr3_E01_F05_CF                          ,6662,,1.62975,0.96261,0.66714,40.85718669,0.66587,4.468,3.478004315,0.00127,0.191,0.1552,0.28961,0.18655,0.10305,0.21035,0.16613,1.773710483,1.240594715,1157.2262,1220.7682,Sprr3_E01_CF.xlsx,Sprr3,14.992,,,
Sprr3_E01_F06_CF                          ,6663,,1.65549,1.0079,0.64759,39.00476596,0.64572,4.648,3.558882541,0.00187,0.29,0.1532,0.2853,0.1798,0.1055,0.20756,0.16553,1.732511081,1.274693409,1156.391,1224.6656,Sprr3_E01_CF.xlsx,Sprr3,15.36,,,
Sprr3_E01_F07_CF                          ,6664,,1.59849,0.92838,0.67011,41.82009271,0.66849,4.411,3.41560641,0.00162,0.241,0.1614,0.28327,0.18349,0.09979,0.20489,0.15922,1.791107423,1.253485743,1159.3837,1226.0576,Sprr3_E01_CF.xlsx,Sprr3,15.008,,,
Sprr3_E01_F08_CF                          ,6665,,1.68106,0.98342,0.69764,41.37686936,0.69557,4.549,3.515397586,0.00207,0.296,0.1618,0.31127,0.20108,0.11019,0.22373,0.17518,1.797523801,1.258020322,1167.1786,1234.5483,Sprr3_E01_CF.xlsx,Sprr3,15.184,,,
Sptssb_E01_F01_CF                         ,6817,,1.54788,0.85366,0.69422,44.72633537,0.69231,4.159,3.275272193,0.00191,0.275,0.1703,0.2788,0.18011,0.09869,0.21181,0.16059,1.700675133,1.229092721,1179.9148,1249.2334,Sptssb_E01_CF.xlsx,Sptssb,14.768,,,
Sptssb_E01_F02_CF                         ,6818,,1.57405,0.87875,0.6953,44.06149741,0.69355,4.345,3.323055548,0.00175,0.251,0.1678,0.28629,0.18604,0.10025,0.21174,0.16538,1.757249457,1.212359415,1173.4423,1242.0648,Sptssb_E01_CF.xlsx,Sptssb,14.816,,,
Sptssb_E01_F03_CF                         ,6819,,1.52836,0.87426,0.6541,42.6862781,0.6524,4.143,3.314555049,0.0017,0.26,0.1618,0.26152,0.16536,0.09616,0.19414,0.1554,1.703512929,1.237580438,1165.1603,1233.7828,Sptssb_E01_CF.xlsx,Sptssb,14.672,,,
Sptssb_E01_F04_CF                         ,6820,,1.63152,0.90049,0.73103,44.67245268,0.72884,4.393,3.363910087,0.00219,0.299,0.1774,0.30596,0.19173,0.11423,0.21687,0.17976,1.768156038,1.270916778,1180.054,1249.0941,Sptssb_E01_CF.xlsx,Sptssb,15.008,,,
Sptssb_E01_F05_CF                         ,6822,,1.64773,0.95342,0.69431,42.01295115,0.69226,4.481,3.461362314,0.00205,0.295,0.1648,0.30056,0.19049,0.11006,0.2137,0.17359,1.782779598,1.268045394,1182.8379,1256.541,Sptssb_E01_CF.xlsx,Sptssb,15.04,,,
Sptssb_E01_F06_CF                         ,6823,,1.59477,0.89197,0.7028,43.92357519,0.70048,4.245,3.347958422,0.00232,0.33,0.1683,0.28913,0.17986,0.10927,0.20715,0.17485,1.73651943,1.249871318,1170.1713,1235.2444,Sptssb_E01_CF.xlsx,Sptssb,14.704,,,
Sptssb_E01_F07_CF                         ,6824,,1.50758,0.87262,0.63496,41.96858542,0.63271,4.161,3.311444749,0.00225,0.355,0.1552,0.25202,0.16091,0.09112,0.18493,0.15282,1.740226031,1.192514069,1153.3984,1220.6986,Sptssb_E01_CF.xlsx,Sptssb,14.544,,,
Sptssb_E01_F08_CF                         ,6825,,1.5663,0.87884,0.68746,43.76173147,0.68544,4.161,3.323225715,0.00202,0.294,0.1683,0.27678,0.17058,0.10619,0.20445,0.16765,1.668672047,1.266805846,1186.1089,1257.0978,Sptssb_E01_CF.xlsx,Sptssb,14.448,,,
Steap2_E01_F01_CF                         ,13914,,1.7585,1.03501,0.72349,41.02758032,0.72147,4.665,3.606427491,0.00202,0.279,0.1654,0.33601,0.21317,0.12284,0.2267,0.18739,1.880635201,1.31106249,1172.9551,1242.7609,Steap2_E01_CF.xlsx,Steap2,14.848,,,
Steap2_E01_F02_CF                         ,13915,,1.64567,0.97407,0.6716,40.71290113,0.67,4.453,3.498646113,0.0016,0.239,0.1574,0.29204,0.18231,0.10973,0.2074,0.17518,1.758052073,1.252768581,1163.2811,1232.4604,Steap2_E01_CF.xlsx,Steap2,14.544,,,
Steap2_E01_F03_CF                         ,13916,,1.71214,1.00251,0.70963,41.35059049,0.70798,4.421,3.549353773,0.00165,0.232,0.1639,0.32346,0.20899,0.11447,0.23572,0.17834,1.773205498,1.283727711,1166.5522,1234.4092,Steap2_E01_CF.xlsx,Steap2,14.704,,,
Steap2_E01_F04_CF                         ,13917,,1.66546,0.98623,0.67923,40.66984497,0.67734,4.513,3.520416409,0.00189,0.279,0.1574,0.30065,0.19177,0.10888,0.22067,0.16598,1.738070422,1.311965297,1161.75,1231.8341,Steap2_E01_CF.xlsx,Steap2,15.024,,,
Steap2_E01_F05_CF                         ,13919,,1.6112,0.965,0.6462,39.99565541,0.64441,4.306,3.482319291,0.00179,0.276,0.1533,0.27812,0.17996,0.09817,0.20472,0.15395,1.758108636,1.275349139,1147.4827,1217.2188,Steap2_E01_CF.xlsx,Steap2,14.432,,,
Steap2_E01_F06_CF                         ,13920,,1.39155,0.8248,0.56675,40.59933168,0.56496,3.891,3.219432012,0.00179,0.315,0.1456,0.2096,0.13481,0.07479,0.16521,0.12707,1.631983536,1.177146455,1141.2189,1214.5741,Steap2_E01_CF.xlsx,Steap2,14.064,,,
Steap2_E01_F07_CF                         ,13921,,1.504,0.88055,0.62345,41.34507979,0.62183,4.15,3.326457221,0.00162,0.26,0.1541,0.25027,0.16329,0.08697,0.19246,0.14462,1.696872077,1.20273821,1160.2885,1231.2078,Steap2_E01_CF.xlsx,Steap2,14.624,,,
