Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,exp_name,gene_symbol,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
,AAA_E28_hF_M_s5,20.58832988,32.49177152,62.58117312,11.42722849,23.33067013,34.75789862,9.161101388,43.91900001,46.22284991,73.90745645,26.5400507,79.86969364,20.13030636,25.58035313,1.475249106,0.44991137,13.1662829,46.74809455,2.816188361,308.3422453,75.14011506,10.70815466,20.46192342,8.216774638,18.9249293,39.38685272,35.75326234,52.21576772,47.78423228,53.3629364,60.6206901,95.35589722,92.18126111,17.46183447,20.08113626,8.77499007,11.30614619,4.629665092,86.65671487,45.09271658,54.90728342,,,,1.096283844,854.5148032,491.8249886,58,242,0.240071801,31.66666667,0.130980189,105.5,225.6666667,0.459415584,AAA_E28F.xls,AAA_E28,101.5,184.6666667,,
,AAA_E28_hF_M_s6,22.05625928,30.6799244,85.43162838,14.34909108,20.89225474,37.54805814,9.787669657,47.3357278,55.34049744,65.29760038,28.56169873,79.36190218,20.63809782,26.00699404,1.272344394,0.392864409,13.86996051,53.99714534,2.274666105,384.2744285,69.18255926,13.17117826,17.21784159,10.21537013,28.11580558,45.33364717,29.67517948,60.43775006,39.56224994,60.0145969,51.54130703,90.89005236,88.6950065,15.28694624,18.20805574,8.826644698,7.708603036,5.55490173,79.1745695,53.38078292,46.61921708,,,,0.981911674,675.7597616,487.6533554,54.5,241.6666667,0.224309037,29.5,0.121426636,107.6666667,233,0.463278208,AAA_E28F.xls,AAA_E28,80.5,183.5,,
,AAA_E28_hF_M_s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA_E28F.xls,AAA_E28,,,,
,AAA_E28_hF_M_s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA_E28F.xls,AAA_E28,,,,
Male,AAA_E29_hF_M_s1,24.4525189,27.40785649,89.61097014,15.58383805,18.53917565,34.1230137,8.868680847,42.99169454,56.97165074,63.72773239,25.93018769,79.30061687,20.69938313,26.22086786,1.296960217,0.335886186,13.8624614,47.60336984,2.535289,344.7106743,73.23058262,14.25764456,15.96032417,7.27160836,21.52925292,37.48957708,35.74100553,50.96743061,49.03256939,58.07169365,54.91927089,88.6344318,87.6816582,14.12830846,15.79419709,6.66880125,9.125395839,3.437317805,84.22660605,42.36731014,57.63268986,,,,1.341443188,653.7636791,493.1663984,60.66666667,241.6666667,0.250866721,31,0.12824241,127.6666667,235.3333333,0.541966035,AAA_E29F.xls,AAA_E29,113.5,180,,
,AAA_E29_hF_M_s2,20.89990441,28.65813533,83.56538357,11.54581456,15.52773404,27.20196641,9.354089854,36.55605626,57.1722077,68.41613747,22.95507306,74.41165484,25.58834516,34.3875502,1.587339101,0.316330264,15.00141467,53.78556586,2.784655884,305.9903775,68.73505207,,11.7989958,,,,,,,,36.59154425,,,14.15784925,17.35348391,5.701215349,14.17451864,,85.77674467,28.68430093,71.31569907,,,,0.970684066,539.0951827,626.2068356,65.33333333,241,0.271234829,34,0.141105517,124,232,0.537755563,AAA_E29F.xls,AAA_E29,105.3333333,173,,
,AAA_E29_hF_M_s3,24.72573763,26.20714601,94.36029854,16.07771222,17.5591206,33.63683281,8.648025411,42.28485823,58.22801155,61.70633453,25.46644182,80.06565392,19.93434608,25.20100391,1.465443252,0.40993991,14.84018936,50.42065876,2.847859315,300.7202823,70.50307084,13.90385469,14.58530189,6.689995433,20.59385012,35.17915202,35.32391882,49.53468947,50.46531053,56.87330544,53.01587736,87.47754801,82.80137377,13.76068992,15.58435962,6.400805581,9.183554036,3.587052898,82.30983579,41.63044703,58.36955297,,,,1.021994504,538.3569068,620.1801108,60.66666667,241.3333333,0.251617398,31,0.12854375,122,226.3333333,0.539127462,AAA_E29F.xls,AAA_E29,111.6666667,157,,
,AAA_E29_hF_M_s4,27.70948073,21.88300542,130.0299396,18.74999958,12.92352428,31.67352386,8.959481143,40.63300501,68.36802796,53.59480809,24.79624307,78.03716395,21.96283605,28.16255553,1.564184716,0.408573146,12.60953493,51.04644477,2.457124851,357.080977,74.44145586,17.08754193,11.98912277,7.38613793,24.47367986,36.46280263,37.97865323,49.00245618,50.99754382,62.06950438,51.88691391,91.94354492,88.74324845,10.98475018,13.24583883,4.189521818,9.056317015,2.539806718,80.14311518,31.67305923,68.32694077,,,,1.531451646,638.4855707,493.8767738,61,243,0.25101518,32.33333333,0.133142662,120.3333333,236,0.510254078,AAA_E29F.xls,AAA_E29,98,151.6666667,,
,AAA_E29_hF_M_s5,29.14025651,32.18999114,90.79316018,15.26147464,18.31120926,33.5726839,13.87878187,47.45146577,61.50404401,67.82664548,30.66512382,70.66931051,29.33068949,41.75749261,1.387188388,0.425427569,12.18864901,51.0656346,2.396034772,373.4846639,70.33922374,13.39428537,15.75553001,11.28684384,24.68112922,40.43665923,29.90256451,57.4612229,42.5387771,47.06511116,46.6599786,93.18857205,86.5529541,13.87028266,17.91343177,8.25590141,9.657530356,3.880953145,78.79560601,46.21435722,53.78564278,,,,1.704477565,954.6107972,369.5907446,66.66666667,242.3333333,0.275137015,32.33333333,0.133470147,119,233.6666667,0.509312038,AAA_E29F.xls,AAA_E29,102.6666667,180.5,,
,AAA_E29_hF_M_s6,28.16134626,30.53737346,91.26610937,15.99060062,19.10806038,35.61844111,11.42931308,47.04775419,59.29391213,64.98775765,29.23853363,75.71833022,24.28166978,32.06867494,1.266376107,0.365842438,14.38999995,51.39367586,2.792119916,307.4157654,74.24467291,13.93613062,15.92296975,10.00932094,24.23971027,40.16268002,33.25451294,54.525581,45.474419,49.32012554,50.95184617,94.77053865,86.55926906,10.60317419,12.46150569,5.33198276,7.124045664,3.110358516,83.86023582,42.85796274,57.14203726,,,,1.027658143,687.5983761,563.3807209,61.5,241.6666667,0.253656214,34,0.140186042,128.3333333,229.6666667,0.558802144,AAA_E29F.xls,AAA_E29,103.3333333,175.3333333,,
