Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Lrp1_E01_F07_CV,1964,2.5855,0.6362,22.0462,0.2461,8.526861342100172,36.2542,135.179,0.932,4.2035,61.3,231.7,16.9,108.39999999999999,1.8245,190.2741,831.76,Lrp1_E01.xlsx,Lrp1,Female
Lrp1_E01_F08_CV,1965,2.3939,0.5582,19.7379,0.2332,8.245081248172438,36.955,130.3328,0.8818,4.3078,59.7,228.3,16,96.9,1.8929,178.8477,831.311,Lrp1_E01.xlsx,Lrp1,Female
Mccc2_E01_F01_CV,3254,2.0459,0.4328,17.0363,0.2115,8.327044332567574,42.2531,157.8803,1.3758,4.6008,54.199999999999996,214.5,15.6,82.3,1.8895,160.5525,803.515,Mccc2_E01.xlsx,Mccc2,Female
Mccc2_E01_F02_CV,3255,2.1556,0.4915,19.1715,0.228,8.893811467804788,41.4585,180.2256,1.1717,4.6943,53.8,205.4,14,74.6,2.0232,173.9689,811.218,Mccc2_E01.xlsx,Mccc2,Female
Mccc2_E01_F03_CV,3256,2.4893,0.5674,22.1395,0.2279,8.89386574539027,41.2806,185.5953,1.0815,4.5435,54.5,213.79999999999998,15,95.5,1.8218,173.4554,799.471,Mccc2_E01.xlsx,Mccc2,Female
Mccc2_E01_F04_CV,3257,2.2821,0.5279,20.077,0.2313,8.79759870294904,40.1359,163.8863,1.1495,4.7156,56.099999999999994,208.3,14.9,87,1.8736,178.3983,826.753,Mccc2_E01.xlsx,Mccc2,Female
Mccc2_E01_F05_CV,3259,2.3683,0.5705,20.9615,0.2409,8.850863488578305,38.5381,153.1721,1.0036,4.6933,56.7,209.2,14.4,80.69999999999999,1.9073,187.578,830.669,Mccc2_E01.xlsx,Mccc2,Female
Mccc2_E01_F06_CV,3260,2.3985,0.5182,21.1923,0.2161,8.835647279549718,43.9345,192.8279,1.2136,4.4167,51.2,226.39999999999998,14,104,1.7785,165.367,781.112,Mccc2_E01.xlsx,Mccc2,Female
Mccc2_E01_F07_CV,3261,2.4475,0.5205,19.6062,0.2127,8.010704800817162,39.8043,134.1169,1.1594,4.1856,56.7,234.7,15.4,95.5,1.8017,162.6067,820.334,Mccc2_E01.xlsx,Mccc2,Female
Mccc2_E01_F08_CV,3262,2.3566,0.558,19.8102,0.2368,8.406263260629721,37.2463,139.1852,1.0047,4.4677,59.5,217.9,16.5,85,1.7584,180.7734,839.399,Mccc2_E01.xlsx,Mccc2,Female
Mcl1_E01_F01_CV,2668,2.2757,0.4801,16.6117,0.211,7.299600123039064,36.6152,102.7174,1.1129,3.8304,60,257.5,14.7,119.8,1.8043,162.0289,835.227,Mcl1_E01.xlsx,Mcl1,Female
Mcl1_E01_F02_CV,2669,2.154,0.4717,16.6805,0.219,7.743964716805942,37.1415,114.9044,1.0963,4.0638,59,244.10000000000002,14.6,120.5,1.9908,167.6138,863.729,Mcl1_E01.xlsx,Mcl1,Female
Mcl1_E01_F03_CV,2670,2.2544,0.5048,17.9215,0.2239,7.949565294535132,37.2853,113.5546,1.0263,3.9791,59.9,242.5,16,115.7,1.8355,169.6038,867.003,Mcl1_E01.xlsx,Mcl1,Female
