Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Ppfia1_E01_M01_CV,1734,2.2727,0.5585,21.9224,0.2457,9.64597175166102,41.6487,203.9466,1.1796,5.1421,54.300000000000004,191,15.299999999999999,88.5,1.7699,192.6493,817.445,Ppfia1_E01.xlsx,Ppfia1,Male
Ppfia1_E01_M02_CV,1735,2.4721,0.6798,25.3723,0.275,10.263460216010678,39.0192,207.1079,0.8774,5.3816,57.3,177.5,17.1,83,1.7409,215.3738,821.168,Ppfia1_E01.xlsx,Ppfia1,Male
Ppfia1_E01_M03_CV,1736,2.2032,0.5906,21.9727,0.2681,9.973084604212056,39.2135,184.5049,0.9564,5.3454,56.2,178.1,15.100000000000001,72.7,1.912,206.9644,816.867,Ppfia1_E01.xlsx,Ppfia1,Male
Ppfia1_E01_M04_CV,1737,2.2681,0.5927,22.7092,0.2613,10.012433314227767,40.6928,219.3459,1.1903,5.6142,55.800000000000004,172,15.7,64.9,1.7494,204.9102,793.501,Ppfia1_E01.xlsx,Ppfia1,Male
Ppfia1_E01_M05_CV,1739,2.4428,0.6682,24.2415,0.2735,9.92365318486982,37.8727,192.4024,0.8246,5.0142,58.2,194.70000000000002,16.9,98.5,1.8193,212.6135,815.327,Ppfia1_E01.xlsx,Ppfia1,Male
Ppfia1_E01_M06_CV,1740,2.1297,0.5667,21.9276,0.2661,10.296098041977743,40.6014,219.048,0.9007,5.4928,54.9,174.6,14.7,80.4,1.8312,205.6164,803.772,Ppfia1_E01.xlsx,Ppfia1,Male
Ppfia1_E01_M07_CV,1741,2.5396,0.6154,24.2479,0.2423,9.547920932430305,41.9611,204.6613,1.3251,5.1946,55,185.29999999999998,16,79,1.8059,192.4567,812.631,Ppfia1_E01.xlsx,Ppfia1,Male
Ppfia1_E01_M08_CV,1742,2.3311,0.5346,21.2802,0.2294,9.128823302303633,42.7309,187.0395,1.3633,4.6853,53.400000000000006,210.10000000000002,15.100000000000001,123.30000000000001,1.7326,182.5067,809.806,Ppfia1_E01.xlsx,Ppfia1,Male
Rab10_E01_M01_CV,2163,2.3155,0.6625,24.0974,0.2861,10.40699632908659,37.9716,213.6697,0.8378,5.6266,58.2,165.9,16.2,63.4,1.8785,222.4993,830.284,Rab10_E01.xlsx,Rab10,Male
Rab10_E01_M02_CV,2164,1.8845,0.379,16.6094,0.2011,8.813690634120457,47.6864,195.0128,1.4869,5.201,48,187.29999999999998,13.299999999999999,67.2,1.6781,153.5554,777.902,Rab10_E01.xlsx,Rab10,Male
